Pergunta;Documento_sugerido
Quais benefícios corporativos são oferecidos pela Unimed Blumenau?;DIR-324 - Diretriz de Benefícios
Quais benefícios se aplicam também aos cooperados (não colaboradores CLT)?;DIR-324 - Diretriz de Benefícios
Qual é o limite máximo de descontos em folha para aquisição de benefícios?;DIR-324 - Diretriz de Benefícios
Como o colaborador deve solicitar inclusão ou exclusão de vale-transporte?;DIR-324 - Diretriz de Benefícios
Há isenção do desconto de 6% de vale-transporte para aprendizes e estagiários?;DIR-324 - Diretriz de Benefícios
Como é tratada a recarga do vale-transporte quando há saldo remanescente?;DIR-324 - Diretriz de Benefícios
Em que situações o vale-transporte pode ser cancelado por uso indevido?;DIR-324 - Diretriz de Benefícios
Como funciona o transporte fretado para colaboradores de Indaial?;DIR-324 - Diretriz de Benefícios
Como é feito o desconto proporcional do vale-transporte na rescisão?;DIR-324 - Diretriz de Benefícios
Qual o valor do vale-refeição para colaboradores ativos até 30/08/2024?;DIR-324 - Diretriz de Benefícios
Qual o valor do vale-refeição para aprendizes e estagiários ativos até 30/08/2024?;DIR-324 - Diretriz de Benefícios
Qual o valor do vale-refeição para admissões a partir de 01/09/2024 sem refeitório próprio?;DIR-324 - Diretriz de Benefícios
Existe desconto simbólico no vale-refeição? Em que base legal?;DIR-324 - Diretriz de Benefícios
O que acontece com o vale-refeição para quem é transferido para unidade com refeitório próprio?;DIR-324 - Diretriz de Benefícios
Como é o processo para escolher e trocar benefícios respeitando o limite de 30%?;DIR-324 - Diretriz de Benefícios
Quais são as regras de elegibilidade para cada benefício listado?;DIR-324 - Diretriz de Benefícios
Quais prazos devem ser observados para a solicitação de benefícios no Painel de Gestão?;DIR-324 - Diretriz de Benefícios
Como fica o benefício de vale-refeição durante férias e licença maternidade até 30/06/2025?;DIR-324 - Diretriz de Benefícios
Quais regras específicas existem para o Plano Celular corporativo?;DIR-324 - Diretriz de Benefícios
Como funciona o subsídio ao Clube Ipiranga e quem pode aderir?;DIR-324 - Diretriz de Benefícios
Quais as condições para o benefício de Vacinas para colaboradores/cooperados?;DIR-324 - Diretriz de Benefícios
Quais as alterações trazidas pelo ACT 2024/2025 que impactam benefícios?;DIR-324 - Diretriz de Benefícios
Quais benefícios têm coparticipação ou valores fixos mensais?;DIR-324 - Diretriz de Benefícios
Quais documentos o colaborador deve manter para auditorias de benefícios?;DIR-324 - Diretriz de Benefícios
Há carência para acesso a planos de saúde e odontológico para novos colaboradores?;DIR-324 - Diretriz de Benefícios
Como é o processo para exclusão de benefícios quando o limite de 30% é atingido?;DIR-324 - Diretriz de Benefícios
Quais controles internos monitoram saldos de vale-transporte dos colaboradores?;DIR-324 - Diretriz de Benefícios
