Pergunta;Resposta
Quais são os valores de reembolso de alimentação para colaboradores em eventos/treinamentos externos?;Em viagens fora da área de ação da Unimed Blumenau (dentro ou fora do estado), colaboradores têm direito a reembolso mediante nota/cupom fiscal enviado à Controladoria. Os tetos por período são: Até 13 PM (almoço e lanches): R$ 135,00. Após 13 PM (jantar e lanches): R$ 135,00. Os valores somam por dia de evento/treinamento. Bebidas alcoólicas não são reembolsadas.
O que conta como presença e como devo registrar participantes de treinamentos internos?;Em treinamentos internos (inclusive por videoconferência), todos os participantes devem assinar a Lista de Presença. Se precisar da lista emitida no sistema, a área deve avisar Gestão de Pessoas com 48h de antecedência (informando nome do treinamento, data, horário e participantes). Após o evento, a lista deve ser encaminhada a Gestão de Pessoas até o último dia do mês vigente para registro e indicadores. Reuniões/orientações de rotina não são caracterizadas como treinamento: o registro fica com o gestor.
Treinamento fora do expediente conta como hora trabalhada?;Depende do tipo. Se forem treinamentos de observância legal (NRs, certificações, legislação) ou conhecimentos básicos/elementares exigidos para a função e segurança do paciente, as horas fora da jornada são computadas em banco de horas ou pagas caso o colaborador não tenha banco de horas. Para autodesenvolvimento, palestras motivacionais e atualizações, as horas não contam para banco de horas nem são pagas, mesmo que subsidiadas.
Como é feita a avaliação dos treinamentos e quais ações ocorrem se o aproveitamento for baixo?;A Avaliação de Reação (via Microsoft Forms) é aplicada em treinamentos internos com carga > 4h (ou conforme necessidade) logo após o evento ou em até 1 dia útil, com prazo máximo de 48 horas após o treinamento.
Como funciona o Banco de Talentos de Enfermagem?;A Educação Continuada, junto com Gestão de Pessoas, realiza seleção diferenciada para Técnicos de Enfermagem e Enfermeiros (conforme DIR-006): (1) entrevista com Gestão de Pessoas (2) prova teórica aplicada pela Educação Continuada. Quem alcançar média mínima 6,0 permanece 1 ano no Banco de Talentos e pode ser chamado conforme perfil. Quem não for aprovado pode tentar novamente após 3 meses.
Quais treinamentos fora da jornada contam para banco de horas/pagamento e quais não contam?;Contam (banco de horas ou pagamento se não houver banco): treinamentos de observância legal (NRs, certificações, legislação) e conhecimentos básicos/elementares exigidos para a função e segurança do paciente. Não contam (mesmo que subsidiados): autodesenvolvimento, palestras motivacionais e atualizações — não geram banco de horas nem pagamento.
Como peço uma campanha/arte ao Marketing?;A solicitação é feita exclusivamente por OS no Tasy (conforme FLU-169). Na OS, descreva a necessidade e anexe o FOR-1128 (Briefing) quando aplicável. O Marketing cria ou terceiriza as artes, garantindo aderência à Central da Marca. Aprovações e devolutivas ocorrem na própria OS. Para apresentações, use templates oficiais (DFS: R:\Comunicacao_Institucional\Modelos PPT). Canais externos devem exibir o selo com o nº da ANS (RN16).
Qual é o procedimento de prazos e prioridades para OS de Marketing?;Após início da execução, o prazo médio depende da prioridade: Emergência: 1 dia (risco imediato à marca/operação). Urgente: 3 dias. Alta: 5 dias. Média: 15 dias. Baixa: 30 dias. A área demandante deve respeitar esses prazos e justificar “Urgente/Emergência”. O retorno/validação do material ocorre via OS.
Qual o procedimento para comunicados internos?;Toda comunicação interna é coordenada pelo Marketing. Demais áreas não podem criar boletins/comunicados sem aval. As demandas entram por OS no Tasy (FLU-169). O Marketing mantém padrão visual da Central da Marca e avalia os envios às listas internas. Informações sigilosas devem usar e-mail (com tarja/frase de confidencialidade) e Microsoft Teams (indicar confidencialidade no título e verbalizar no início).
Quais canais de comunicação devo usar para cada público externo?;# Beneficiários: informativos online, mídia impressa, e-mail marketing, mala direta, releases, ofícios/circulares, redes sociais, front-light/outdoors, rádios, site/portal/hotsite, folders/flyers, boletos, revistas/jornais, App Unimed Cliente, WhatsApp, TV, assinaturas de e-mail, SMS, podcast, webcast. # Prestadores: e-mail, WhatsApp, mala direta. # Sociedade: informativos online, mídia impressa, releases, ofícios/circulares, redes sociais, front-light/outdoors, rádios, site/portal/hotsite, folders/flyers, revistas/jornais, WhatsApp, TV, podcast, webcast. #Fornecedores: e-mail, WhatsApp, mala direta, assinatura de e-mail. # Instituições parceiras: redes sociais, e-mail, WhatsApp, assinatura de e-mail. # Imprensa: release, e-mail, assinatura de e-mail.
