Pergunta;Resposta
Qual o valor do vale-refeição para colaboradores ativos até 30/08/2024?;R$ 1.032,00 por mês, com desconto simbólico de R$ 1,00. Para aprendizes e estagiários remunerados, R$ 516,00.
Qual o valor do auxílio-creche para admissões a partir de 01/09/2024?;R$ 300,00 por dependente até 5 anos e 11 meses. Caso não haja comprovação de instituição, 10% do salário normativo por dependente.
O que acontece com o seguro de vida em caso de desligamento do colaborador?;O colaborador permanece coberto até o final do mês da saída, sendo a exclusão feita no mês seguinte.
Qual é o valor do bônus no programa “Pratas da Casa” para colaboradores com 10 anos de empresa?;R$ 700,00, pago via cartão premiação/Flash.
Qual é o custo mensal do plano odontológico Uniodonto por pessoa?;R$ 25,50 por pessoa, sem coparticipação.
Qual o valor mensal do Prêmio Assiduidade?;R$ 158,70, pago mensalmente aos colaboradores que atenderem aos critérios.
Qual o valor do reembolso home office para cargos híbridos?;R$ 60,00 mensais, para custear despesas como energia elétrica e internet.
Qual o valor do ingresso de cinema pelo convênio GNC?;R$ 19,00 cada ingresso, com desconto em folha de pagamento.
Quanto o colaborador paga de mensalidade no Clube Ipiranga?;R$ 10,00 por pessoa conveniada, pois a Unimed subsidia 60% do valor total de R$ 25,00.
O plano de saúde da Unimed Blumenau é totalmente custeado pela cooperativa?;Sim, a Unimed Blumenau subsidia 100% da mensalidade do plano para colaboradores e 50% para dependentes.
O plano de saúde da Unimed Blumenau é totalmente custeado pela cooperativa para colaboradores?;Sim, a Unimed Blumenau subsidia 100% da mensalidade do plano para colaboradores e 50% para dependentes.
