Pergunta;Resposta
O que acontece com o seguro de vida em caso de desligamento do colaborador?;O colaborador permanece coberto até o final do mês da saída, sendo a exclusão feita no mês seguinte.
Qual é o valor do bônus no programa “Pratas da Casa” para colaboradores com 10 anos de empresa?;R$ 700,00, pago via cartão premiação/Flash.
Qual é o custo mensal do plano odontológico Uniodonto por pessoa?;R$ 25,50 por pessoa, sem coparticipação.
Qual o valor mensal do Prêmio Assiduidade?;R$ 158,70, pago mensalmente aos colaboradores que atenderem aos critérios.
Qual o valor do reembolso home office para cargos híbridos?;R$ 60,00 mensais, para custear despesas como energia elétrica e internet.
Qual o valor do ingresso de cinema pelo convênio GNC?;R$ 19,00 cada ingresso, com desconto em folha de pagamento.
Quanto o colaborador paga de mensalidade no Clube Ipiranga?;R$ 10,00 por pessoa conveniada, pois a Unimed subsidia 60% do valor total de R$ 25,00.
Qual o prazo para solicitar reanálise de uma autorização negada?;O beneficiário pode solicitar reanálise em até 2 dias úteis após o retorno da solicitação de autorização ou contato com a Unimed.
Como deve ser feita a solicitação de reembolso na Unimed Blumenau?;Pode ser feita via APP, WhatsApp ou presencialmente, com nota fiscal ou recibo, e demais documentos conforme o FOR-1179.
Qual a cobertura do benefício de reembolso para cooperados?;O cooperado pode receber reembolso no valor máximo que seria pago pela rede Unimed, desde que o procedimento esteja coberto pelo plano.
Dependentes do cooperado têm direito ao benefício de reembolso?;Não, o benefício de reembolso é exclusivo ao cooperado e não se estende aos dependentes.
Quando é cobrada a taxa de custeio administrativo no intercâmbio?;A taxa é aplicada a cada procedimento e pode variar: 5% para Intercâmbio Nacional, 4% em SC, e 9,65% para Fundações.
Quais documentos são exigidos para solicitar reembolso?;Nota fiscal ou recibo com dados do profissional, especialidade e, em terapias especiais, certificado de especialização.
